#,Monitor Item,Description,Units,Condition,Values/Status,Notes
1,ENG SPEED,Engine Speed,rpm,,,
2,MAS A/F SE-B1,Mass Airflow Sensor Bank 1,V,,,
3,MAS A/F SE-B2,Mass Airflow Sensor Bank 2,V,,,
4,B/FUEL SCHDL,Base Fuel Schedule,msec,,,
5,A/F ALPHA-B1,Air/Fuel Correction Factor Bank 1,%,,,
6,A/F ALPHA-B2,Air/Fuel Correction Factor Bank 2,%,,,
7,COOLAN TEMP/S,Coolant Temperature,°C or °F,,,
8,A/F SEN1 (B1),Air/Fuel Ratio Sensor 1 Bank 1,V,,,
9,HO2S2 (B1),Heated Oxygen Sensor 2 Bank 1,V,,,
10,HO2S2 (B2),Heated Oxygen Sensor 2 Bank 2,V,,,
11,HO2S2 MNTR (B1),Heated Oxygen Sensor 2 Monitor Bank 1,Rich/Lean,,,
12,HO2S2 MNTR (B2),Heated Oxygen Sensor 2 Monitor Bank 2,Rich/Lean,,,
13,VHCL SPEED SE,Vehicle Speed,km/h or mph,,,
14,BATTERY VOLT,Battery Voltage,V,,,
15,ACCEL SEN 1,Accelerator Pedal Position Sensor 1,V,,5V power supply,
16,ACCEL SEN 2,Accelerator Pedal Position Sensor 2,V,,5V power supply,
17,TP SEN 1-B1,Throttle Position Sensor 1 Bank 1,V,,5V power supply,
18,TP SEN 2-B1,Throttle Position Sensor 2 Bank 1,V,,,
19,FUEL T/TMP SE,Fuel Tank Temperature,°C or °F,,0-4.8V,
20,EVAP SYS PRES,A/C Evaporator System Pressure,V,,5V power supply,
21,FUEL LEVEL SE,Fuel Level,V,,,
22,START SIGNAL,Ignition Switch START Position,On/Off,,,
23,CLSD THL POS,Closed Throttle Position,On/Off,,,
24,AIR COND SIG,A/C Status,On/Off,,,
25,PW/ST SIGNAL,Power Steering,On/Off,,,
26,LOAD SIGNAL,Electical Load,On/Off,,,
27,IGNITION SW,Ignition Switch,On/Off,,,
28,HEATER FAN SW,Heater Fan Switch,On/Off,,,
29,BRAKE SW,Brake Switch,On/Off,,,
30,INJ PULSE-B1,Injection Pulse Bank 1,msec,,,
31,INJ PULSE-B2,Injection Pulse Bank 2,msec,,,
32,IGN TIMING,Ignition Timing,BTDC,,,
33,CAL/LD VALUE,Calculated Load Value,%,,,
34,MASS AIRFLOW,Mass Airflow,g/s,,,
35,PURG VOL C/V,EVAP Canister Purge Volume Control Valve,%,,,
36,INT/V SOL (B1),Intake Valve Solenoid Bank 1,%,,,
37,INT/V SOL (B2),Intake Valve Solenoid Bank 2,%,,,
38,AIR COND RLY,A/C Relay,On/Off,,,
39,FUEL PUMP RLY,Fuel Pump Relay,On/Off,,,
40,VENT CONT/V,Vent Control Valve,On/Off,,,
41,THRTL RELAY,Throttle Relay,On/Off,,,
42,A/F S1 HTR (B2),Airflow Sensor 1 Heater Bank 2,%,,,
43,HO2S2 HTR (B1),Heated Oxygen Sensor 2 Heater Bank 1,On/Off,,,
44,HO2S2 HTR (B2),Heated Oxygen Sensor 2 Heater Bank 2,On/Off,,,
45,I/P PULLY SPD,Idler Pulley Speed,rpm,,,
46,VEHICLE SPEED,Vehicle Speed,km/h or mph,,,
47,IDL A/V LEARN,Idle Air Volume Learning,Not Yet/Complete,,,
48,TRVL AFTER MIL,Distance Traveled After MIL,km or mile,,,
49,ENG OIL TEMP,Engine Oil Temperature,°C or °F,,,
50,A/F S1 HTR (B1),Airflow Sensor 1 Heater Bank 1,%,,,
51,VHCL SPEED SE,Vehicle Speed,km/h or mph,,,
52,SET VHCL SPD,Cruise Control Set Speed,km/h or mph,,,
53,MAIN SW,Cruise Control On/Off Switch,On/Off,,,
54,CANCEL SW,Cruise Control Cancel Switch,On/Off,,,
55,RESUME/ACC SW,Cruise Control Resume/Acc Switch,On/Off,,,
56,SET SW,Cruise Control Set Switch,On/Off,,,
57,BRAKE SW1,Cruise Control Brake Switch,On/Off,,,
58,BRAKE SW2,Brake Light Brake Switch,On/Off,,,
59,VHCL SPD CUT,Vehicle Speed Cut,Non/Cut,,,
60,LO SPEED CUT,Low Speed Cut,Non/Cut,,,
61,AT OD MONITOR,A/T OD Monitor,On/Off,,,Always Off for 370Z
62,AT OD CANCEL,A/T OD Cancel,On/Off,,,Always Off for 370Z
63,CRUISE LAMP,Cruise Control On Lamp,On/Off,,,
64,SET LAMP,Cruise Control Set Lamp,On/Off,,,
65,FAN DUTY,Cooling Fan Duty,%,,,
66,AC EVA TEMP,A/C Evaporator Temperature,°C or °F,,,
67,AC EVA TARGET,A/C Evaporator Target Temperature,°C or °F,,,
68,A/F ADJ-B1,Air/Fuel Ratio Adjustment Bank 1,-,,,
69,A/F ADJ-B2,Air/Fuel Ratio Adjustment Bank 2,-,,,
70,TP SEN 1-B2,Throttle Position Sensor 1 Bank 2,V,,,5V power supply
71,TP SEN 2-B2,Throttle Position Sensor 2 Bank 2,V,,,
72,P/N POSI SW,Park/Neutral Position Switch,On/Off,,,
73,INT/A TEMP SE,Intake Air Temperature,°C or °F,,,
74,AC PRESS SEN,A/C Compressor Pressure,V,,,
75,A/F SEN1 (B2),Air/Fuel Ratio Sensor 1 Bank 2,V,,,
76,ATOM PRES SEN,-,mV,,,Not used on 370Z
77,BRAKE BST PRES SE,-,mV,,,Not used on 370Z
78,INT/V TIM (B1),Intake Valve Timing Bank 1,°CA,,,
79,INT/V TIM (B2),Intake Valve Timing Bank 2,°CA,,,
80,MAP SENSOR,-,V,,5V Power Supply,Not used on 370Z
81,EVAP LEAK DIAG,Evaporator Leak Diagnosis,Not Yet/Complete,,,
82,EVAP DIAG READY,Evaporator Leak Diagnosis Ready,On/Off,,,
83,VVEL LEARN,VVEL Learning,Not Yet/Done,,,
84,VVEL SEN LEARN-B1,VVEL Sensor Learning Bank 1,V,,,
85,VVEL SEN LEARN-B2,VVEL Sensor Learning Bank 2,V,,,
86,VVEL POSITION SEN-B1,VVEL Position Sensor Bank 1,V,,,
87,VVEL POSITION SEN-B2,VVEL Position Sensor Bank 2,V,,,
88,VVEL TIM-B1,VVEL Timing Bank 1,°,,,
89,VVEL TIM-B2,VVEL Timing Bank 2,°,,,
90,ALT DUTY,Alternator Duty,%,,,
91,ALT DUTY SIG,Power Generation Voltage Variable Control Status,On/Off,,,
92,GEAR POSITION,Gear Position,1/2/3/4/5/6/N/R,,,
93,M/T SYN REV STAT,M/T S-Mode Status,Inactive/Active,,,
94,M/T SYNCHRO SW,M/T S-Mode Switch,On/Off,,,
95,CPP SW,Clutch Pedal Position Switch,On/Off,,,
96,CLUTCH INTLCK SW,Clutch Interlock Switch,On/Off,,,
97,M/T N POS LEARN,M/T Neutral Position Learning,Not Yet/Done,,,
98,THRTL STK CNT B1,-,-,,,Not used on 370Z
99,HO2 S2 DIAG1(B1),Heated Oxygen Sensor 2 Diagnosis 1 Bank 1,Incomplete/Complete,,,
100,HO2 S2 DIAG2(B1),Heated Oxygen Sensor 2 Diagnosis 2 Bank 1,Incomplete/Complete,,,
101,HO2 S2 DIAG1(B2),Heated Oxygen Sensor 2 Diagnosis 1 Bank 2,Incomplete/Complete,,,
102,HO2 S2 DIAG2(B2),Heated Oxygen Sensor 2 Diagnosis 2 Bank 2,Incomplete/Complete,,,
103,A/F SEN1 DIAG1(B1),Air/Fuel Sensor 1 Diagnosis 1 Bank 1,Incomplete/Complete,,,
104,A/F SEN1 DIAG1(B2),Air/Fuel Sensor 1 Diagnosis 1 Bank 2,Incomplete/Complete,,,
105,A/F SEN1 DIAG2(B1),Air/Fuel Sensor 1 Diagnosis 2 Bank 1,Incomplete/Complete,,,
106,A/F SEN1 DIAG2(B2),Air/Fuel Sensor 1 Diagnosis 2 Bank 2,Incomplete/Complete,,,
107,A/F SEN1 DIAG3(B1),Air/Fuel Sensor 1 Diagnosis 3 Bank 1,Absent/Present,,,
108,A/F SEN1 DIAG3(B2),Air/Fuel Sensor 1 Diagnosis 3 Bank 2,Absent/Present,,,
